Number,Other Numbers,Name,Class,Description,Longer Description,Material,Dimensions,Acoustic Measure,Provenance,Maker,Date,Location,Source,Acquired,Previous Owners,Mark,Labels,Information,Publication,Image,Sound Recording,Playable,Condition,Recorder
4088,,BagpipeZukra,Reed Instruments,Bagpipe of goatskin with two parallel cane chanters with horn bells and a cane mouthpipe.,Bagpipe of goatskin with two parallel cane chanters with horn bells and a cane mouthpipe. The chanters have five fingerholes each and are connected to the bag via a wooden disc. The gap between the horn bells is filled with wax. Two holes in the bag (where the goat's legs were) are plugged with wooden plugs. No non-return valve.,Goat Skin AnimalWood PlantCane PlantWaxHorn Animal,Max L = 780 mm  Max L [chanters] = 230 mm  Max Diam [bell] = 50 mm,,Tunisia,unknown,mid-20th century,Offsite store - F1 - Box 13,John Burton,,,,"Bagpipe zukra, anon., Tunisia. Mid 20th. c., Donated by John Burton. 4088",,,Collections Image 12-10-2012,,no,"Skin bag sticky, one of the horn bells cracked [EB 12/10/2012]",Elin Bornemann [12/10/2012]
2043,,Oboe,Reed Instruments,Oboe of boxwood with ivory ferrules and two silver keys.,,Boxwood PlantIvory Tooth AnimalSilver Metal,Max L = 564 mm  Max Diam [bell] = 55 mm,lowest note C,"UK, England, London",Cahusac,1755-1794,Workroom - B1 - Box 13,Christopher Baines,,,CAHUSAC STRAND LONDON [upper body]  CAHUSAC LONDON [lower body and bell],,Given by Christopher Baines while still alive in lieu of the bequest which he had promised.,,Collections Image 12-10-2012,,yes (needs reed),"Bell ring missing, slight damage round the edge of the bell [EB 12/10/2012]",Elin Bornemann [12/10/2012]
529,,Saxophone,Reed Instruments,"Soprano saxophone of brass, with black plastic mouthpiece. Some of the keys have mother-of-pearl discs.","Soprano saxophone of brass, with black plastic mouthpiece. Some of the keys have mother-of-pearl discs. The company name is stencilled onto the bell, with a design of leaves and flowers around it.",Brass MetalPlastic SyntheticMother-of-pearl Shell,Max L = 500 mm Max W = 152 mm  Max Diam [bell] = 89 mm,,"Czech Republic, Kraslice [formerly Graslitz]",V. Kohlert's Shne,first half 20th century,Workroom - B1 - Box 13,Ian Keyworth,Donated 07/06/2005,,V .Kohlert's Shne Graslitz Czechoslovakei,,"The company was founded by Vinzenz Ferarius Kohlert in 1840. His sons took over in 1901 and changed the name to V. Kohlert's Shne. A history of the company can be found on this website: http://www.saxpics.com/Kohlert/index.htm
",,Collections Image 12-10-2012,,,"A few spots of oxydation on the metal, otherwise good condition.",Elin Bornemann [12/10/2012]
"2054
",,BagpipeGayda,Reed Instruments,"Bagpipe with goatskin bag and drone, chanter and mouthpipe of wood with plastic ferrules. The chanter has a thumbhole and six fingerholes. It has a metal ring at the top and the bottom.",,Goatskin AnimalWood PlantPlastic SyntheticMetal,Max L = 960 mm Max W = 203 mm  ,,Bulgaria,anon,late 20th century,Workroom - A2 - Box 27,Edwin Macadam,24/10/2010,,,,Purchased by donor on holiday in 1999.,,Collections Image 15-10-2012,,probably yes,Good condition.,Elin Bornemann [12/10/2012]
1196,,Transverse Flute,Flutes,"Transverse flute of rosewood with eight keys of nickel alloy and nickel alloy ferrules. There are four joints, head joint with a sliding tuner section.",,Rosewood PlantNickel Alloy Metal,Max L = 675 mm  Max W =  33 mm  Max Diam [head] = 27 mm,,"UK, England, Plymouth",Richard Weekes,mid-19th century,Workroom Box - 13,Dorothy Fisher,Donated 07/06/2011,,R WEEKES PLYMOUTH,,,,Collections Image 15-10-2012,,"probably yes, but some of the keys somewhat stiff","Fair condition, some damage to the sliding tuner, some corrosion on the keys, some of the key pads missing.",Elin Bornemann [15/10/2012]
10023,,Transverse FluteSystem Flute,Flutes,"Wooden flute in three sections, with nickel alloy keys and nickel alloy ferrules on the joints. Some keys padded with leather, some with cork.",,Wood PlantNickel Alloy MetalLeather Skin AnimalCork Plant,Max L = 665 mm  Max W = 45 mm,,UK?,unknown,,Workroom - B1 - Box 13,unaccessioned stock,,,,,,,Collections Image 15-10-2012,,"potentially yes, some keypads missing","Fair condition, some corrosion on the keys, some keypads missing.",Elin Bornemann [15/10/2012]
386,,RauschpfeifeShawm,Reed Instruments,"Rauschpfeife, wooden instrument in two sections, with a reed inside the head and seven fingerholes plus thumbhole. Flared to form a bell at the end.","Rauschpfeife, wooden instrument in two sections, with a reed inside the head and seven fingerholes plus thumbhole. Flared to form a bell at the end. Besides the fingerholes there are five more perforations near the bell. The bell and the head are incised with circling lines .The joint is painted green.",Wood PlantPaint Pigment,Max L = 667 mm  Max Diam [bell] = 55 mm,,"Germany, Berlin",Gnter Krber,second half 20th century,Workroom Box- 47,Oxfordshire Museums Service,06/07/1998,donated per Carol Anderson,GNTER KRBER,,"Related Documents in OMS box number MM36

One of the Medieval instruments from the Resource Collection. This collection was given 'on the understanding that they will not be loaned to schools. The collections will provide an ideal catalyst for exploring ways in which our two museums may work together to bring the history of music to a wider audience.'
",,Collections Image 15-10-2012,,yes,Good condition.,Elin Bornemann [15/10/2012]
387,,DolzainaDulzaine,Reed Instruments,"Dolzaina, reed instrument of wood with two brass keys. The bell is closed but has many small perforations on the sides which are arranged in circular groups. Seven fingerholes plus thumbhole.","Dolzaina, reed instrument of wood with two brass keys. The bell is closed but has many small perforations on the sides which are arranged in circular groups. Seven fingerholes plus thumbhole. 
The instrument is in three sections. The joint of the head and body sections is painted green. The head and the bell are incised with circular lines. There are two more perforations, above and below the maker's mark.",Wood PlantPaint PigmentBrass Metal,Max L = 703 mm  Max Diam [bell] = 40 mm,,"Germany, Berlin",Gnter Krber,second half 20th century,Workroom Box - 46,Oxfordshire Museums Service,Donated 06/07/1998,Donated per Carol Anderson,GNTER KRBER,,"Related documents in OMS box number MM37

One of the Medieval instruments from the Resource Collection. This collection was given 'on the understanding that they will not be loaned to schools. The collections will provide an ideal catalyst for exploring ways in which our two museums may work together to bring the history of music to a wider audience.'
",,Collections Image 15-10-2012,,yes,Good condition.,Elin Bornemann [15/10/2012]
373,,Crumhorn,Reed Instruments,Tenor crumhorn of pearwood with single brass key and metal thumbrest. There are seven fingerholes plus a thumbhole. With plastic reed inside the head.,Tenor crumhorn of pearwood with single brass key and metal thumbrest. There are seven fingerholes plus a thumbhole. With plastic reed inside the head. The joint of the head and body sections is painted green. The head is incised with circling lines and notches. There are two more perforations on the curved section. In a green box as part of a set of four crumhorns.,Pearwood PlantPaint PigmentBrass MetalMetal,Max L = 667 mm    Max W = 260 mm,pitch C,"Germany, Berlin",Gnter Krber,second half 20th century,Offsite store - B1,Edgar Hunt,,,GNTER KRBER,,,,Collections Image 12-10-2012,,yes,Good condition.,Elin Bornemann [15/10/2012]
10122,,Oboe,Reed Instruments,"Oboe of wood  with nickel alloy keys and nickel alloy ferrules on the bell, also with a thumbrest. ",,Wood PlantNickel Alloy Metal,Max L = 525 mm  Max Diam [bell] = 55 mm,,unknown,anon,,Workroom - B1 - Box 13,Stanley Evans,06/10/2010,,three letters stamped onto the thumbrest possibly J.T.L.,,,,Collections Image 11-02-2013,,yes (needs reed),"Fair condition, some stains and abrasions on the wood, some corrosion on the keys. ",Elin Bornemann [15/10/2012]
